_id,lectura,fecha,hora
61e63663b3b6fb02dc30ee45,23.50,18-01-2022,00-39-15
61e63666b3b6fb02dc30ee46,23.60,18-01-2022,00-39-18
61e63669b3b6fb02dc30ee47,23.60,18-01-2022,00-39-21
61e6366cb3b6fb02dc30ee48,23.60,18-01-2022,00-39-24
61e63670b3b6fb02dc30ee49,23.60,18-01-2022,00-39-28
61e63673b3b6fb02dc30ee4a,23.60,18-01-2022,00-39-31
61e63676b3b6fb02dc30ee4b,23.60,18-01-2022,00-39-34
61e63679b3b6fb02dc30ee4c,23.60,18-01-2022,00-39-37
61e6367cb3b6fb02dc30ee4d,23.60,18-01-2022,00-39-40
61e6367fb3b6fb02dc30ee4e,23.60,18-01-2022,00-39-43
61e63682b3b6fb02dc30ee4f,23.60,18-01-2022,00-39-46
61e63685b3b6fb02dc30ee50,23.60,18-01-2022,00-39-49
61e63689b3b6fb02dc30ee51,23.60,18-01-2022,00-39-53
61e6368cb3b6fb02dc30ee52,23.60,18-01-2022,00-39-56
61e6368fb3b6fb02dc30ee53,23.60,18-01-2022,00-39-59
61e63692b3b6fb02dc30ee54,23.60,18-01-2022,00-40-02
61e63695b3b6fb02dc30ee55,23.60,18-01-2022,00-40-05
61e63698b3b6fb02dc30ee57,23.60,18-01-2022,00-40-08
61e6369bb3b6fb02dc30ee58,23.60,18-01-2022,00-40-11
61e6369eb3b6fb02dc30ee59,23.60,18-01-2022,00-40-14
61e636a2b3b6fb02dc30ee5a,23.60,18-01-2022,00-40-18
61e636a5b3b6fb02dc30ee5b,23.60,18-01-2022,00-40-21
61e636a8b3b6fb02dc30ee5c,23.60,18-01-2022,00-40-24
61e636abb3b6fb02dc30ee5d,23.60,18-01-2022,00-40-27
61e636aeb3b6fb02dc30ee5e,23.60,18-01-2022,00-40-30
61e636b1b3b6fb02dc30ee5f,23.60,18-01-2022,00-40-33
61e636b4b3b6fb02dc30ee60,23.60,18-01-2022,00-40-36
61e636b8b3b6fb02dc30ee61,23.60,18-01-2022,00-40-40
61e636bbb3b6fb02dc30ee62,23.60,18-01-2022,00-40-43
61e636beb3b6fb02dc30ee63,23.70,18-01-2022,00-40-46
61e636c1b3b6fb02dc30ee64,23.70,18-01-2022,00-40-49
61e636c4b3b6fb02dc30ee65,23.70,18-01-2022,00-40-52
61e636c7b3b6fb02dc30ee66,23.70,18-01-2022,00-40-55
61e636cab3b6fb02dc30ee67,23.70,18-01-2022,00-40-58
61e636cdb3b6fb02dc30ee68,23.70,18-01-2022,00-41-01
61e636d1b3b6fb02dc30ee69,23.70,18-01-2022,00-41-05
61e636d4b3b6fb02dc30ee6a,23.70,18-01-2022,00-41-08
61e636d7b3b6fb02dc30ee6b,23.70,18-01-2022,00-41-11
61e636dab3b6fb02dc30ee6c,23.70,18-01-2022,00-41-14
61e636ddb3b6fb02dc30ee6d,23.70,18-01-2022,00-41-17
61e636e0b3b6fb02dc30ee6e,23.70,18-01-2022,00-41-20
61e636e3b3b6fb02dc30ee6f,23.70,18-01-2022,00-41-23
61e636e6b3b6fb02dc30ee70,23.70,18-01-2022,00-41-26
61e636eab3b6fb02dc30ee71,23.70,18-01-2022,00-41-30
61e636edb3b6fb02dc30ee72,23.70,18-01-2022,00-41-33
61e636f0b3b6fb02dc30ee73,23.70,18-01-2022,00-41-36
61e636f3b3b6fb02dc30ee74,23.70,18-01-2022,00-41-39
61e636f6b3b6fb02dc30ee75,23.70,18-01-2022,00-41-42
61e636f9b3b6fb02dc30ee76,23.70,18-01-2022,00-41-45
61e636fcb3b6fb02dc30ee77,23.70,18-01-2022,00-41-48
61e636ffb3b6fb02dc30ee78,23.70,18-01-2022,00-41-51
61e63703b3b6fb02dc30ee79,23.70,18-01-2022,00-41-55
61e63706b3b6fb02dc30ee7a,23.70,18-01-2022,00-41-58
61e63709b3b6fb02dc30ee7b,23.70,18-01-2022,00-42-01
61e6370cb3b6fb02dc30ee7c,23.70,18-01-2022,00-42-04
61e6370fb3b6fb02dc30ee7d,23.70,18-01-2022,00-42-07
61e63712b3b6fb02dc30ee7e,23.70,18-01-2022,00-42-10
61e63715b3b6fb02dc30ee7f,23.70,18-01-2022,00-42-13
61e63719b3b6fb02dc30ee80,23.70,18-01-2022,00-42-17
61e6371cb3b6fb02dc30ee81,23.70,18-01-2022,00-42-20
61e6371fb3b6fb02dc30ee82,23.70,18-01-2022,00-42-23
61e63722b3b6fb02dc30ee83,23.70,18-01-2022,00-42-26
61e63725b3b6fb02dc30ee84,23.70,18-01-2022,00-42-29
61e63728b3b6fb02dc30ee85,23.70,18-01-2022,00-42-32
61e6372bb3b6fb02dc30ee86,23.70,18-01-2022,00-42-35
61e6372eb3b6fb02dc30ee87,23.70,18-01-2022,00-42-38
61e63732b3b6fb02dc30ee88,23.70,18-01-2022,00-42-42
61e63735b3b6fb02dc30ee89,23.70,18-01-2022,00-42-45
61e63738b3b6fb02dc30ee8a,23.70,18-01-2022,00-42-48
61e6373bb3b6fb02dc30ee8b,23.70,18-01-2022,00-42-51
61e6373eb3b6fb02dc30ee8c,23.70,18-01-2022,00-42-54
61e63741b3b6fb02dc30ee8d,23.70,18-01-2022,00-42-57
61e63744b3b6fb02dc30ee8e,23.70,18-01-2022,00-43-00
61e63747b3b6fb02dc30ee8f,23.70,18-01-2022,00-43-03
61e6374bb3b6fb02dc30ee90,23.70,18-01-2022,00-43-07
